"",46.800
245.0000,3.8366E+002
246.0000,3.7522E+002
247.0000,3.5977E+002
248.0000,3.5423E+002
249.0000,3.4334E+002
250.0000,3.5876E+002
251.0000,3.5574E+002
252.0000,3.5876E+002
253.0000,3.7002E+002
254.0000,3.8048E+002
255.0000,3.4875E+002
256.0000,3.5273E+002
257.0000,3.6950E+002
258.0000,3.4138E+002
259.0000,3.6028E+002
260.0000,3.5624E+002
261.0000,3.6130E+002
262.0000,3.6282E+002
263.0000,3.7418E+002
264.0000,3.8313E+002
265.0000,3.8847E+002
266.0000,3.8686E+002
267.0000,3.7679E+002
268.0000,3.7784E+002
269.0000,3.8526E+002
270.0000,3.8366E+002
271.0000,3.7837E+002
272.0000,3.7365E+002
273.0000,3.8101E+002
274.0000,3.7732E+002
275.0000,3.8048E+002
276.0000,3.7470E+002
277.0000,3.6487E+002
278.0000,3.8526E+002
279.0000,3.9062E+002
280.0000,3.7574E+002
281.0000,3.6079E+002
282.0000,3.4041E+002
283.0000,3.4138E+002
284.0000,3.5423E+002
285.0000,3.6028E+002
286.0000,3.4826E+002
287.0000,3.5273E+002
288.0000,3.5826E+002
289.0000,3.6079E+002
290.0000,3.7157E+002
291.0000,3.7105E+002
292.0000,3.5927E+002
293.0000,3.4579E+002
294.0000,3.7261E+002
295.0000,3.6384E+002
296.0000,3.3557E+002
297.0000,3.6744E+002
298.0000,3.5977E+002
299.0000,3.5323E+002
300.0000,3.5473E+002
301.0000,3.5024E+002
302.0000,3.4236E+002
303.0000,3.5373E+002
304.0000,3.4530E+002
305.0000,3.3461E+002
306.0000,3.4041E+002
307.0000,3.2559E+002
308.0000,3.2794E+002
309.0000,3.4041E+002
310.0000,3.3509E+002
311.0000,3.4090E+002
312.0000,3.3127E+002
313.0000,3.3557E+002
314.0000,3.6744E+002
315.0000,3.5123E+002
316.0000,3.4090E+002
317.0000,3.5074E+002
318.0000,3.5024E+002
319.0000,3.5977E+002
320.0000,3.4678E+002
321.0000,3.3895E+002
322.0000,3.2512E+002
323.0000,3.4628E+002
324.0000,3.3270E+002
325.0000,3.2231E+002
326.0000,3.3461E+002
327.0000,3.4090E+002
328.0000,3.3847E+002
329.0000,3.3944E+002
330.0000,3.4285E+002
331.0000,3.4974E+002
332.0000,3.5123E+002
333.0000,3.4432E+002
334.0000,3.4285E+002
335.0000,3.4432E+002
336.0000,3.5523E+002
337.0000,3.3557E+002
338.0000,3.4776E+002
339.0000,3.4041E+002
340.0000,3.4727E+002
341.0000,3.5725E+002
342.0000,3.6231E+002
343.0000,3.5775E+002
344.0000,3.7418E+002
345.0000,3.6589E+002
346.0000,3.6436E+002
347.0000,3.2465E+002
348.0000,3.2937E+002
349.0000,3.4776E+002
350.0000,3.3509E+002
351.0000,3.5624E+002
352.0000,3.3127E+002
353.0000,3.3606E+002
354.0000,3.4432E+002
355.0000,3.3222E+002
356.0000,3.3079E+002
357.0000,3.2465E+002
358.0000,3.3461E+002
359.0000,3.2231E+002
360.0000,3.4481E+002
361.0000,3.3127E+002
362.0000,3.3365E+002
363.0000,3.4383E+002
364.0000,3.4236E+002
365.0000,3.3895E+002
366.0000,3.3750E+002
367.0000,3.4090E+002
368.0000,3.3079E+002
369.0000,3.2984E+002
370.0000,3.4678E+002
371.0000,3.4776E+002
372.0000,3.4579E+002
373.0000,3.1628E+002
374.0000,3.3461E+002
375.0000,3.2231E+002
376.0000,3.2747E+002
377.0000,3.3461E+002
378.0000,3.1171E+002
379.0000,3.5473E+002
380.0000,3.3222E+002
381.0000,3.3031E+002
382.0000,3.2842E+002
383.0000,3.2044E+002
384.0000,3.3365E+002
385.0000,3.3606E+002
386.0000,3.3702E+002
387.0000,3.4530E+002
388.0000,3.3799E+002
389.0000,3.5223E+002
390.0000,3.3847E+002
391.0000,3.3654E+002
392.0000,3.4285E+002
393.0000,3.2889E+002
394.0000,3.2747E+002
395.0000,3.3031E+002
396.0000,3.1998E+002
397.0000,3.3654E+002
398.0000,3.4383E+002
399.0000,3.2512E+002
400.0000,3.3654E+002
401.0000,3.4041E+002
402.0000,3.3079E+002
403.0000,3.3509E+002
404.0000,3.3654E+002
405.0000,3.1767E+002
406.0000,3.2606E+002
407.0000,3.2512E+002
408.0000,3.2091E+002
409.0000,3.3270E+002
410.0000,3.2842E+002
411.0000,3.2559E+002
412.0000,3.3509E+002
413.0000,3.2747E+002
414.0000,3.4236E+002
415.0000,3.4727E+002
416.0000,3.3031E+002
417.0000,3.3799E+002
418.0000,3.5373E+002
419.0000,3.3750E+002
420.0000,3.3270E+002
421.0000,3.3413E+002
422.0000,3.3944E+002
423.0000,3.2653E+002
424.0000,3.2465E+002
425.0000,3.2465E+002
426.0000,3.1859E+002
427.0000,3.4236E+002
428.0000,3.3557E+002
429.0000,3.5074E+002
430.0000,3.3895E+002
431.0000,3.3654E+002
432.0000,3.3895E+002
433.0000,3.2842E+002
434.0000,3.2091E+002
435.0000,3.2559E+002
436.0000,3.4138E+002
437.0000,3.4432E+002
438.0000,3.4678E+002
439.0000,3.4383E+002
440.0000,3.4579E+002
441.0000,3.5473E+002
442.0000,3.5273E+002
443.0000,3.6130E+002
444.0000,3.3031E+002
445.0000,3.2324E+002
446.0000,3.3413E+002
447.0000,3.2418E+002
448.0000,3.3799E+002
449.0000,3.3318E+002
450.0000,3.3654E+002
451.0000,3.2606E+002
452.0000,3.3557E+002
453.0000,3.4727E+002
454.0000,3.5674E+002
455.0000,3.4579E+002
456.0000,3.5074E+002
457.0000,3.5523E+002
458.0000,3.4530E+002
459.0000,3.5373E+002
460.0000,3.6795E+002
461.0000,3.4383E+002
462.0000,3.3127E+002
463.0000,3.5373E+002
464.0000,3.5323E+002
465.0000,3.3557E+002
466.0000,3.5223E+002
467.0000,3.4727E+002
468.0000,3.4974E+002
469.0000,3.4285E+002
470.0000,3.5373E+002
471.0000,3.5273E+002
472.0000,3.4579E+002
473.0000,3.5024E+002
474.0000,3.5574E+002
475.0000,3.5323E+002
476.0000,3.5876E+002
477.0000,3.5523E+002
478.0000,3.4138E+002
479.0000,3.4875E+002
480.0000,3.5523E+002
481.0000,3.4628E+002
482.0000,3.4826E+002
483.0000,3.6079E+002
484.0000,3.5074E+002
485.0000,3.5826E+002
486.0000,3.6231E+002
487.0000,3.6538E+002
488.0000,3.6847E+002
489.0000,3.6079E+002
490.0000,3.5674E+002
491.0000,3.4628E+002
492.0000,3.5273E+002
493.0000,3.5074E+002
494.0000,3.5876E+002
495.0000,3.5373E+002
496.0000,3.4383E+002
497.0000,3.5323E+002
498.0000,3.5775E+002
499.0000,3.6231E+002
500.0000,3.5574E+002
501.0000,3.6180E+002
502.0000,3.5725E+002
503.0000,3.4334E+002
504.0000,3.6180E+002
505.0000,3.6282E+002
506.0000,3.4974E+002
507.0000,3.5074E+002
508.0000,3.4628E+002
509.0000,3.5523E+002
510.0000,3.5725E+002
511.0000,3.5725E+002
512.0000,3.6180E+002
513.0000,3.6487E+002
514.0000,3.5523E+002
515.0000,3.5725E+002
516.0000,3.7522E+002
517.0000,3.6641E+002
518.0000,3.5523E+002
519.0000,3.4579E+002
520.0000,3.4727E+002
521.0000,3.5725E+002
522.0000,3.7837E+002
523.0000,3.6282E+002
524.0000,3.6847E+002
525.0000,3.6231E+002
526.0000,3.6180E+002
527.0000,3.6744E+002
528.0000,3.7522E+002
529.0000,3.7365E+002
530.0000,3.6487E+002
531.0000,3.6898E+002
532.0000,3.8154E+002
533.0000,3.8366E+002
534.0000,3.7105E+002
535.0000,3.7365E+002
536.0000,3.6538E+002
537.0000,3.7365E+002
538.0000,3.6898E+002
539.0000,3.7313E+002
540.0000,3.8313E+002
541.0000,3.7890E+002
542.0000,3.7002E+002
543.0000,3.7365E+002
544.0000,3.6079E+002
545.0000,3.6744E+002
546.0000,3.7522E+002
547.0000,3.7522E+002
548.0000,3.6231E+002
549.0000,3.8154E+002
550.0000,3.6384E+002
551.0000,3.5523E+002
552.0000,3.6282E+002
553.0000,3.7054E+002
554.0000,3.6641E+002
555.0000,3.7784E+002
556.0000,3.7995E+002
557.0000,3.8260E+002
558.0000,3.7418E+002
559.0000,3.7470E+002
560.0000,3.7418E+002
561.0000,3.8526E+002
562.0000,3.7105E+002
563.0000,3.9658E+002
564.0000,3.8419E+002
565.0000,3.8419E+002
566.0000,3.8419E+002
567.0000,3.9658E+002
568.0000,3.9713E+002
569.0000,3.9441E+002
570.0000,3.9116E+002
571.0000,3.9062E+002
572.0000,3.8048E+002
573.0000,3.8207E+002
574.0000,3.8526E+002
575.0000,3.7522E+002
576.0000,3.7837E+002
577.0000,3.7418E+002
578.0000,3.6436E+002
579.0000,3.7313E+002
580.0000,3.5977E+002
581.0000,3.7837E+002
582.0000,3.8048E+002
583.0000,3.6641E+002
584.0000,3.6384E+002
585.0000,3.7157E+002
586.0000,3.6436E+002
587.0000,3.6744E+002
588.0000,3.6538E+002
589.0000,3.7784E+002
590.0000,3.7054E+002
591.0000,3.6898E+002
592.0000,3.7365E+002
593.0000,3.7313E+002
594.0000,3.6898E+002
595.0000,3.6180E+002
596.0000,3.5977E+002
597.0000,3.6282E+002
598.0000,3.5927E+002
599.0000,3.5024E+002
600.0000,3.4579E+002
601.0000,3.7470E+002
602.0000,3.7942E+002
603.0000,3.7209E+002
604.0000,3.7732E+002
605.0000,3.7627E+002
606.0000,3.7418E+002
607.0000,3.5876E+002
608.0000,3.7418E+002
609.0000,3.7261E+002
610.0000,3.6847E+002
611.0000,3.7157E+002
612.0000,3.8101E+002
613.0000,3.6538E+002
614.0000,3.5977E+002
615.0000,3.5574E+002
616.0000,3.5624E+002
617.0000,3.5876E+002
618.0000,3.6436E+002
619.0000,3.7942E+002
