"",46.800
228.0000,-3.9247E+002
229.0000,-3.9077E+002
230.0000,-3.9037E+002
231.0000,-3.9096E+002
232.0000,-3.9000E+002
233.0000,-3.8996E+002
234.0000,-3.9138E+002
235.0000,-3.9069E+002
236.0000,-3.9010E+002
237.0000,-3.9032E+002
238.0000,-3.9089E+002
239.0000,-3.9045E+002
240.0000,-3.9063E+002
241.0000,-3.9113E+002
242.0000,-3.8552E+002
243.0000,-3.8848E+002
244.0000,-3.8830E+002
245.0000,-3.8808E+002
246.0000,-3.8788E+002
247.0000,-3.8642E+002
248.0000,-3.8633E+002
249.0000,-3.8618E+002
250.0000,-3.8479E+002
251.0000,-3.8527E+002
252.0000,-3.8497E+002
253.0000,-3.8474E+002
254.0000,-3.8558E+002
255.0000,-3.8460E+002
256.0000,-3.8459E+002
257.0000,-3.8429E+002
258.0000,-3.8330E+002
259.0000,-3.8170E+002
260.0000,-3.8106E+002
261.0000,-3.7846E+002
262.0000,-3.8018E+002
263.0000,-3.8024E+002
264.0000,-3.8057E+002
265.0000,-3.8155E+002
266.0000,-3.8181E+002
267.0000,-3.8226E+002
268.0000,-3.8209E+002
269.0000,-3.8187E+002
270.0000,-3.8244E+002
271.0000,-3.8225E+002
272.0000,-3.8117E+002
273.0000,-3.8107E+002
274.0000,-3.8161E+002
275.0000,-3.8169E+002
276.0000,-3.8202E+002
277.0000,-3.8175E+002
278.0000,-3.8194E+002
279.0000,-3.8223E+002
280.0000,-3.8217E+002
281.0000,-3.8170E+002
282.0000,-3.8078E+002
283.0000,-3.7979E+002
284.0000,-3.7820E+002
285.0000,-3.7714E+002
286.0000,-3.7683E+002
287.0000,-3.7703E+002
288.0000,-3.7648E+002
289.0000,-3.7599E+002
290.0000,-3.7609E+002
291.0000,-3.7588E+002
292.0000,-3.7521E+002
293.0000,-3.7498E+002
294.0000,-3.7509E+002
295.0000,-3.7476E+002
296.0000,-3.7376E+002
297.0000,-3.7337E+002
298.0000,-3.7296E+002
299.0000,-3.7157E+002
300.0000,-3.7189E+002
301.0000,-3.7073E+002
302.0000,-3.6967E+002
303.0000,-3.6894E+002
304.0000,-3.6802E+002
305.0000,-3.6718E+002
306.0000,-3.6601E+002
307.0000,-3.6512E+002
308.0000,-3.6426E+002
309.0000,-3.6348E+002
310.0000,-3.6277E+002
311.0000,-3.6188E+002
312.0000,-3.6093E+002
313.0000,-3.6035E+002
314.0000,-3.5991E+002
315.0000,-3.5950E+002
316.0000,-3.5891E+002
317.0000,-3.5832E+002
318.0000,-3.5757E+002
319.0000,-3.5748E+002
