"",46.800
230.0000,-4.2398E+001
231.0000,-2.4168E+001
232.0000,-3.5800E+001
233.0000,-2.3663E+001
234.0000,-2.0073E+001
235.0000,-9.0450E+001
236.0000,-5.0447E+001
237.0000,-3.4470E+001
238.0000,-1.7008E+001
239.0000,-5.0375E+001
240.0000,-2.6603E+001
241.0000,-4.1812E+001
242.0000,-9.0619E+001
243.0000,-7.0242E+001
244.0000,-2.7090E+001
245.0000,-2.0371E+001
246.0000,-4.3441E+001
247.0000,-3.8519E+001
248.0000,-7.0794E+001
249.0000,-8.2028E+001
250.0000,-1.1005E+002
251.0000,-3.7302E+001
252.0000,-9.3745E+001
253.0000,-3.0025E+001
254.0000,-8.4208E+000
255.0000,-5.9535E+001
256.0000,-4.0772E+001
257.0000,-7.8494E+001
258.0000,-1.8013E+002
259.0000,-1.1394E+002
260.0000,-7.8946E+001
261.0000,-8.1912E+001
262.0000,-2.9947E+001
263.0000,-1.0565E+001
264.0000,-6.6830E+000
265.0000,-1.0147E+001
266.0000,-1.7384E+001
267.0000,-1.4153E+001
268.0000,-1.7517E+001
269.0000,-7.1452E+000
270.0000,-1.0925E+001
271.0000,-4.1343E+001
272.0000,-2.5011E+001
273.0000,-1.7123E+001
274.0000,-2.2282E+001
275.0000,-1.7346E+001
276.0000,-1.2718E+001
277.0000,-2.5338E+001
278.0000,-4.3391E+000
279.0000,1.7495E-001
280.0000,-3.8764E+001
281.0000,-3.4470E+001
282.0000,-6.4421E+001
283.0000,-6.1807E+001
284.0000,-5.9519E+001
285.0000,-4.5880E+001
286.0000,-4.3261E+001
287.0000,-7.7631E+001
288.0000,-8.5482E+001
289.0000,-2.8113E+001
290.0000,-2.2632E+001
291.0000,-2.0606E+001
292.0000,-2.5545E+001
293.0000,-3.5923E+001
294.0000,-1.3083E+001
295.0000,-5.5773E+001
296.0000,-4.7539E+001
297.0000,-3.3003E+001
298.0000,-2.0772E+001
299.0000,-7.0384E+001
300.0000,-4.8441E+001
301.0000,-1.2293E+002
302.0000,-4.5071E+001
303.0000,-6.2002E+001
304.0000,-8.2382E+001
305.0000,-5.8889E+001
306.0000,-8.2291E+001
307.0000,-5.1251E+001
308.0000,-4.2484E+001
309.0000,-4.1849E+001
310.0000,-5.6119E+001
311.0000,-3.8358E+001
312.0000,-7.8408E+001
313.0000,-2.5240E+001
314.0000,4.7061E+000
315.0000,-3.8474E+001
316.0000,-2.4809E+001
317.0000,-1.2770E+002
318.0000,-1.7265E+001
319.0000,-1.2250E+001
320.0000,-1.6104E+001
321.0000,-3.3989E+001
322.0000,-1.0816E+002
323.0000,-8.0421E+001
324.0000,-8.5337E+001
325.0000,-2.6928E+001
326.0000,-2.4099E+001
327.0000,-1.3787E+001
328.0000,-1.0234E+001
329.0000,-9.5379E+000
330.0000,-1.3456E+001
331.0000,-3.1473E+000
332.0000,-1.4745E+001
333.0000,-4.1897E+001
334.0000,-6.9828E+000
335.0000,-2.4294E+001
336.0000,-5.8006E+000
337.0000,-4.1355E+001
338.0000,-7.4103E+001
339.0000,-1.8166E+001
340.0000,-3.5096E+001
341.0000,1.7105E+000
342.0000,1.0074E+001
343.0000,-2.2174E+001
344.0000,1.5938E+001
345.0000,2.7393E+001
346.0000,2.2351E+001
347.0000,-4.8530E+001
348.0000,-6.0707E+001
349.0000,-5.6072E+001
350.0000,-2.4775E+001
351.0000,-3.9117E+000
352.0000,-1.3394E+002
353.0000,-6.6332E+001
354.0000,-3.1570E+001
355.0000,-6.1689E+001
356.0000,-5.4492E+001
357.0000,-1.0889E+002
358.0000,-5.8085E+001
359.0000,-1.8663E+001
360.0000,-2.9444E+001
361.0000,-2.9282E+001
362.0000,-4.8078E+001
363.0000,-1.9168E-001
364.0000,-1.4785E+001
365.0000,-2.9827E+001
366.0000,-2.2358E+001
367.0000,-5.0746E+001
368.0000,-2.5073E+001
369.0000,-1.8993E+001
370.0000,-3.4922E+001
371.0000,-2.1411E+001
372.0000,-8.2924E+000
373.0000,-1.4943E+001
374.0000,-1.1840E+001
375.0000,-2.3213E+001
376.0000,-4.1515E+001
377.0000,-2.5155E+001
378.0000,-2.6779E+001
379.0000,3.1327E+001
380.0000,-2.3712E+001
381.0000,-7.3297E+000
382.0000,-1.2035E+001
383.0000,-1.0999E+001
384.0000,-2.1928E+001
385.0000,-1.6333E+001
386.0000,-5.6352E-001
387.0000,-8.6741E+000
388.0000,8.9170E-001
389.0000,9.3983E+000
390.0000,-5.4511E+000
391.0000,-4.2874E+001
392.0000,-8.9617E+000
393.0000,-1.8947E+001
394.0000,-6.4646E+000
395.0000,-1.6395E+001
396.0000,-4.4805E+001
397.0000,-2.2321E+001
398.0000,4.1506E-001
399.0000,-1.5603E+001
400.0000,-1.5766E+001
401.0000,-8.1746E+000
402.0000,-1.8293E+001
403.0000,-2.8964E+001
404.0000,-1.6535E+001
405.0000,-1.2993E+001
406.0000,-2.2239E+001
407.0000,-2.9762E+001
408.0000,-2.1530E+001
409.0000,-3.6195E+000
410.0000,-4.1927E+001
411.0000,-1.1753E+001
412.0000,-1.6273E+000
413.0000,-2.7070E+000
414.0000,5.6614E+000
415.0000,2.5814E+000
416.0000,-2.9336E+001
417.0000,-1.2010E+001
418.0000,3.9406E+001
419.0000,-3.0848E+000
420.0000,-1.6863E+001
421.0000,-1.2651E+001
422.0000,-7.4351E+000
423.0000,-1.8605E+001
424.0000,-8.2532E+000
425.0000,-1.2540E+001
426.0000,-2.3992E+001
427.0000,-3.7611E+001
428.0000,-2.7402E+000
429.0000,1.4678E+001
430.0000,1.9949E+000
431.0000,-5.6473E+001
432.0000,-4.0726E-002
433.0000,-5.9756E+000
434.0000,-1.2874E+001
435.0000,-1.0628E+001
436.0000,1.8078E+000
437.0000,3.1518E+000
438.0000,1.5615E-001
439.0000,3.9878E+000
440.0000,-4.2082E-001
441.0000,-2.0070E+000
442.0000,1.2918E+001
443.0000,3.1759E+001
444.0000,-4.4212E+001
445.0000,-4.4526E+001
446.0000,-3.6953E+001
447.0000,-3.3707E+001
448.0000,-1.8067E+001
449.0000,-7.1103E+000
450.0000,-1.2694E+001
451.0000,-3.0225E+001
452.0000,-2.3288E+001
453.0000,6.1117E+000
454.0000,1.3418E+000
455.0000,-4.2120E+000
456.0000,-2.4899E+001
457.0000,1.2358E+001
458.0000,-3.2307E-001
459.0000,1.2881E+001
460.0000,4.0888E+001
461.0000,-4.3562E+000
462.0000,-4.2674E+001
463.0000,4.2114E+000
464.0000,3.4808E+000
465.0000,-7.8961E+000
466.0000,-1.9884E+001
467.0000,-3.5867E+001
468.0000,-5.5194E+001
469.0000,-1.8190E+001
470.0000,-3.9441E+001
471.0000,1.6557E+000
472.0000,-3.7153E+000
473.0000,-1.9691E+000
474.0000,-3.9974E+001
475.0000,-1.7987E+001
476.0000,-6.9415E+000
477.0000,-2.5952E-002
478.0000,-2.1337E+001
479.0000,-3.2536E+001
480.0000,-3.0248E+001
481.0000,-1.7821E+001
482.0000,-1.9686E+001
483.0000,-1.1604E+001
484.0000,-1.0178E+001
485.0000,-1.9562E+000
486.0000,-1.8375E+001
487.0000,-7.2333E+000
488.0000,-9.7755E-001
489.0000,-1.2175E+001
490.0000,-2.1185E+001
491.0000,-3.7472E+001
492.0000,-1.1237E+001
493.0000,-3.8526E+001
494.0000,-5.5723E+000
495.0000,-4.8206E+001
496.0000,-2.5081E+001
497.0000,-2.9034E+001
498.0000,-2.1009E+001
499.0000,-2.1960E+000
500.0000,-8.5038E+000
501.0000,-5.2351E+000
502.0000,-1.2389E+001
503.0000,-4.3228E+001
504.0000,-1.4933E+001
505.0000,-6.0921E+000
506.0000,-6.7424E+001
507.0000,-4.2295E+001
508.0000,-4.2966E+001
509.0000,-4.1025E+001
510.0000,-1.2155E+001
511.0000,-1.4907E+001
512.0000,-2.3253E+001
513.0000,-2.4870E+001
514.0000,-3.0472E+001
515.0000,-2.7465E+001
516.0000,-2.4242E+001
517.0000,-2.5032E+001
518.0000,-3.5344E+001
519.0000,-3.6929E+001
520.0000,-5.1276E+001
521.0000,-5.2974E+001
522.0000,-1.1822E+001
523.0000,-2.3618E+001
524.0000,-2.3935E+001
525.0000,-2.3884E+001
526.0000,-1.8181E+001
527.0000,-2.1804E+001
528.0000,-2.0570E+001
529.0000,-2.2240E+001
530.0000,-5.0967E+001
531.0000,-6.0446E+001
532.0000,-3.8429E+001
533.0000,-3.6810E+001
534.0000,-7.8517E+001
535.0000,-4.1903E+001
536.0000,-4.2013E+001
537.0000,-3.9771E+001
538.0000,-7.0172E+001
539.0000,-5.9521E+001
540.0000,-4.1098E+001
541.0000,-2.4545E+001
542.0000,-6.6636E+001
543.0000,-5.9818E+001
544.0000,-1.0909E+002
545.0000,-8.5381E+001
546.0000,-8.5678E+001
547.0000,-4.0245E+001
548.0000,-4.9912E+001
549.0000,-5.9738E+001
550.0000,-4.4518E+001
551.0000,-4.8756E+001
552.0000,-6.2446E+001
553.0000,-7.2424E+001
554.0000,-5.3767E+001
555.0000,-2.5345E+001
556.0000,-1.8302E+001
557.0000,-2.3465E+001
558.0000,-6.7106E+001
559.0000,-4.8306E+001
560.0000,-7.0435E+001
561.0000,-2.2345E+001
562.0000,-2.6226E+001
563.0000,-1.7800E+001
564.0000,-2.1867E+001
565.0000,-4.7457E+001
566.0000,-3.3464E+001
567.0000,-1.1414E+001
568.0000,-5.5070E+000
569.0000,-4.2893E+001
570.0000,-3.4941E+001
571.0000,-2.8064E+001
572.0000,-8.0292E+001
573.0000,-1.1196E+002
574.0000,-2.8497E+001
575.0000,-9.4799E+001
576.0000,-5.1705E+001
577.0000,-3.7092E+001
578.0000,-7.8337E+001
579.0000,-3.8413E+001
580.0000,-6.1607E+001
581.0000,-4.8380E+001
582.0000,-2.1418E+001
583.0000,-4.4177E+001
584.0000,-5.3039E+001
585.0000,-4.4209E+001
586.0000,-4.8156E+001
587.0000,-7.0254E+001
588.0000,-6.7902E+001
589.0000,-8.2769E+001
590.0000,-2.5951E+001
591.0000,-5.5107E+001
592.0000,-7.9470E+001
593.0000,-9.7213E+001
594.0000,-1.2197E+002
595.0000,-7.1151E+001
596.0000,-4.2781E+001
597.0000,-6.0588E+001
598.0000,-3.6789E+001
599.0000,-4.3212E+001
600.0000,-5.2123E+001
601.0000,-3.2731E+001
602.0000,-3.9043E+001
603.0000,-5.0668E+001
604.0000,-2.9177E+001
605.0000,-6.1868E+001
606.0000,-4.4449E+001
607.0000,-3.1048E+001
608.0000,-3.1504E+001
609.0000,-2.0587E+001
610.0000,-2.9526E+001
611.0000,-1.9909E+001
612.0000,-1.1927E+001
613.0000,-7.8697E+001
614.0000,-4.3884E+001
615.0000,-5.2127E+001
616.0000,-3.5673E+001
617.0000,-4.6901E+001
618.0000,-3.6902E+001
619.0000,-3.2495E+001
620.0000,-2.6225E+001
621.0000,-4.1182E+001
622.0000,-5.5699E+001
623.0000,-2.8244E+001
624.0000,-2.4818E+001
