"",46.800
232.0000,-2.2517E+000
233.0000,-1.3151E+001
234.0000,-7.8416E+000
235.0000,-2.9618E+001
236.0000,-2.2005E+001
237.0000,-1.2753E+001
238.0000,-7.3289E+000
239.0000,-2.1509E+001
240.0000,-1.2661E+001
241.0000,-2.0061E+001
242.0000,-2.4648E+001
243.0000,-2.3130E+001
244.0000,-1.2225E+001
245.0000,-7.7399E+000
246.0000,-1.3577E+001
247.0000,-1.8377E+001
248.0000,-3.1533E+001
249.0000,-3.9823E+001
250.0000,-4.2678E+001
251.0000,-1.7048E+001
252.0000,-3.7855E+001
253.0000,-9.2668E+000
254.0000,-2.3993E+000
255.0000,-3.1293E+001
256.0000,-1.9833E+001
257.0000,-2.8550E+001
258.0000,-9.0570E+001
259.0000,-2.9008E+001
260.0000,-3.3409E+001
261.0000,-2.4552E+001
262.0000,-7.8274E+000
263.0000,-1.3923E+000
264.0000,4.7601E+000
265.0000,9.7122E+000
266.0000,8.6030E+000
267.0000,-3.3981E+000
268.0000,-2.5159E+000
269.0000,3.1637E+000
270.0000,8.9988E-001
271.0000,-3.7778E+000
272.0000,-3.6869E+000
273.0000,8.7904E-001
274.0000,-5.4377E+000
275.0000,-6.0303E-001
276.0000,-4.0474E+000
277.0000,-9.2259E+000
278.0000,6.5560E+000
279.0000,8.9409E+000
280.0000,-8.5889E+000
281.0000,-1.3240E+001
282.0000,-3.2014E+001
283.0000,-2.9028E+001
284.0000,-2.4049E+001
285.0000,-1.6792E+001
286.0000,-2.2204E+001
287.0000,-2.8355E+001
288.0000,-3.0834E+001
289.0000,-1.2289E+001
290.0000,-5.9367E+000
291.0000,-6.4682E+000
292.0000,-1.1780E+001
293.0000,-2.2936E+001
294.0000,-2.7866E+000
295.0000,-1.9104E+001
296.0000,-2.8994E+001
297.0000,-1.0453E+001
298.0000,-8.1932E+000
299.0000,-3.3258E+001
300.0000,-2.0837E+001
301.0000,-4.4301E+001
302.0000,-2.7025E+001
303.0000,-2.1076E+001
304.0000,-3.7481E+001
305.0000,-3.4899E+001
306.0000,-4.1337E+001
307.0000,-3.8537E+001
308.0000,-3.1983E+001
309.0000,-2.1275E+001
310.0000,-3.0941E+001
311.0000,-2.0205E+001
312.0000,-5.2100E+001
313.0000,-1.5689E+001
314.0000,4.3168E+000
315.0000,-1.1430E+001
316.0000,-1.1196E+001
317.0000,-3.0818E+001
318.0000,-4.1786E+000
319.0000,5.0915E-001
320.0000,-8.3227E+000
