"",-46.500,-46.000,-45.500,-45.000,-44.500,-44.000,-43.500,-43.000,-42.500,-42.000,-41.500,-41.000,-40.500,-40.000,-39.500,-39.000,-38.500,-38.000,-37.500,-37.000,-36.500,-36.000,-35.500,-35.000,-34.500,-34.000,-33.500,-33.000,-32.500,-32.000,-31.500,-31.000,-30.500,-30.000,-29.500,-29.000,-28.500,-28.000,-27.500,-27.000,-26.500,-26.000,-25.500,-25.000,-24.500,-24.000,-23.500,-23.000,-22.500,-22.000,-21.500,-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
0.0000,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.2000E+001,-4.1852E+001,-4.1250E+001,-4.0500E+001,-3.9750E+001,-3.9000E+001,-3.8250E+001,-3.7500E+001,-3.6750E+001,-3.6000E+001,-3.5250E+001,-3.4500E+001,-3.3750E+001,-3.3000E+001,-3.2250E+001,-3.1500E+001,-3.0750E+001,-3.0000E+001,-2.9250E+001,-2.8500E+001,-2.7750E+001,-2.6981E+001,-2.6125E+001,-2.5250E+001,-2.4375E+001,-2.3500E+001,-2.2625E+001,-2.1750E+001,-2.0875E+001,-2.0049E+001,-1.9500E+001,-1.9000E+001,-1.8500E+001,-1.8000E+001,-1.7500E+001,-1.7000E+001,-1.6500E+001,-1.6009E+001,-1.5583E+001,-1.5167E+001,-1.4750E+001,-1.4333E+001,-1.3917E+001,-1.3500E+001,-1.3083E+001,-1.2667E+001,-1.2250E+001,-1.1833E+001,-1.1417E+001,-1.0992E+001,-1.0455E+001,-9.9091E+000,-9.3636E+000,-8.8182E+000,-8.2727E+000,-7.7273E+000,-7.1818E+000,-6.6364E+000,-6.0909E+000,-5.5455E+000,-4.9943E+000,-4.1800E+000,-3.3600E+000,-2.5400E+000,-1.7200E+000,0.0000E+000
1.0000,1.2126E-014,9.5056E-015,6.9500E-015,4.3148E-015,4.2870E-015,3.4359E-015,3.9663E-015,4.3472E-015,2.1178E-015,9.7428E-016,1.1855E-015,9.0803E-015,2.1206E-013,6.4160E-013,3.9379E-013,7.7528E-014,2.5146E-014,2.3937E-014,2.2548E-014,2.9073E-014,3.5263E-014,4.6104E-014,6.3572E-014,1.2485E-013,5.2081E-013,3.5722E-012,6.9321E-012,3.9037E-012,3.5464E-012,5.1776E-012,1.9688E-012,3.1632E-013,2.0275E-013,2.6007E-013,4.4083E-013,1.1132E-012,4.1197E-012,1.5680E-011,5.4769E-011,1.3983E-010,1.9575E-010,1.0999E-010,3.9405E-011,2.3695E-011,2.2592E-011,2.3543E-011,2.4958E-011,2.6144E-011,2.6924E-011,2.7186E-011,2.7220E-011,2.7257E-011,2.7264E-011,2.7208E-011,2.7208E-011,2.7467E-011,2.8406E-011,3.1274E-011,4.0323E-011,7.1478E-011,8.8019E-011,7.2669E-011,5.4009E-011,4.3481E-011,3.9671E-011,3.9267E-011,4.3904E-011,5.1713E-011,5.9882E-011,6.6020E-011,6.8203E-011,6.5549E-011,5.8627E-011,5.2161E-011,4.9004E-011,4.7468E-011,4.6434E-011,4.5312E-011,4.4969E-011,4.5993E-011,4.8029E-011,5.1236E-011,6.6665E-011,4.4710E-009,1.0854E-008,2.0997E-008,4.2077E-008,6.9191E-008,1.0354E-007,1.4601E-007,2.4332E-007,3.0163E-007,4.5607E-007,8.0981E-007
2.0000,1.7827E-013,7.3865E-014,6.3247E-015,6.1743E-015,7.4314E-015,9.0887E-015,1.2702E-014,1.9288E-014,2.8749E-014,4.0851E-014,5.4659E-014,7.2282E-014,1.0363E-013,1.7448E-013,2.8880E-013,3.9208E-013,3.9388E-013,3.6900E-013,4.4011E-013,7.1667E-013,1.3352E-012,2.9452E-012,1.6440E-011,8.2219E-012,9.4411E-011,1.0529E-008,2.9047E-007,6.7124E-007,8.1706E-007,8.3071E-007,7.9947E-007,7.0521E-007,5.4007E-007,4.5428E-007,4.1505E-007,3.8076E-007,3.4838E-007,3.1808E-007,2.8425E-007,2.1888E-007,6.2955E-008,5.2687E-009,9.4137E-011,5.4840E-012,5.9813E-012,7.5558E-011,1.8659E-009,1.0544E-008,2.3368E-008,3.6532E-008,4.8466E-008,5.9351E-008,6.9699E-008,7.9439E-008,8.7949E-008,9.4425E-008,1.0059E-007,1.0622E-007,1.0978E-007,1.1003E-007,1.0840E-007,1.0706E-007,1.0719E-007,1.0918E-007,1.1253E-007,1.1665E-007,1.2111E-007,1.2549E-007,1.2972E-007,1.3363E-007,1.3733E-007,1.4071E-007,1.4358E-007,1.4529E-007,1.4653E-007,1.4843E-007,1.5122E-007,1.5575E-007,1.6076E-007,1.6456E-007,1.6766E-007,1.7070E-007,1.7439E-007,1.7984E-007,1.8786E-007,2.0015E-007,2.1674E-007,2.3839E-007,2.7041E-007,3.2363E-007,4.0906E-007,5.6241E-007,1.0049E-006,1.8328E-006
3.0000,3.6238E-009,9.6337E-010,2.4008E-010,6.5645E-011,7.1251E-012,1.9600E-012,1.8518E-012,5.6935E-011,4.6015E-010,6.1548E-010,5.3855E-010,4.6843E-010,3.9243E-010,3.1209E-010,2.3523E-010,1.6641E-010,1.0974E-010,6.8232E-011,4.1323E-011,2.5933E-011,2.0109E-011,9.6306E-011,6.7046E-010,2.5312E-009,5.5865E-009,9.2642E-009,1.3190E-008,1.8418E-008,2.2579E-008,2.3809E-008,2.3669E-008,2.3305E-008,2.3092E-008,2.3626E-008,2.4954E-008,2.7045E-008,2.9850E-008,3.2840E-008,3.5574E-008,3.6318E-008,3.5898E-008,3.6230E-008,3.7224E-008,3.7803E-008,3.7857E-008,3.7262E-008,3.6280E-008,3.5891E-008,3.6115E-008,3.7010E-008,3.8445E-008,3.9663E-008,4.0866E-008,4.2098E-008,4.3671E-008,4.5441E-008,4.7891E-008,5.1099E-008,5.5346E-008,5.9229E-008,6.3888E-008,7.1861E-008,8.3827E-008,1.0065E-007,1.2224E-007,1.4795E-007,1.7683E-007,2.0720E-007,2.3711E-007,2.6396E-007,2.8509E-007,2.9777E-007,2.9991E-007,2.9042E-007,2.7340E-007,2.5447E-007,2.3789E-007,2.2753E-007,2.2177E-007,2.1843E-007,2.1892E-007,2.2412E-007,2.3530E-007,2.5425E-007,2.8322E-007,3.2645E-007,3.8702E-007,4.7273E-007,6.0396E-007,8.2395E-007,1.2043E-006,2.0046E-006,4.3461E-006,5.2453E-006
4.0000,8.3071E-007,1.3692E-007,6.6155E-008,1.1467E-007,1.6561E-007,1.6613E-007,1.3438E-007,9.7767E-008,6.8885E-008,5.2032E-008,4.3247E-008,3.8720E-008,3.6295E-008,3.4523E-008,3.3134E-008,3.2518E-008,3.2784E-008,3.4095E-008,3.6242E-008,3.8538E-008,4.2029E-008,4.8652E-008,5.6899E-008,6.0969E-008,6.1640E-008,5.9240E-008,5.6071E-008,5.4429E-008,5.3600E-008,5.0709E-008,4.6441E-008,4.2212E-008,3.8523E-008,3.6832E-008,3.6897E-008,3.8347E-008,4.1018E-008,4.3900E-008,4.6466E-008,4.5927E-008,4.3697E-008,4.2762E-008,4.2962E-008,4.2769E-008,4.2097E-008,4.0812E-008,3.9216E-008,3.8471E-008,3.8516E-008,3.9361E-008,4.0819E-008,4.2023E-008,4.3163E-008,4.4218E-008,4.5389E-008,4.6386E-008,4.7465E-008,4.8446E-008,4.9224E-008,4.8267E-008,4.6109E-008,4.4179E-008,4.2425E-008,4.1087E-008,4.0005E-008,3.8981E-008,3.8028E-008,3.6966E-008,3.5910E-008,3.4706E-008,3.3490E-008,3.2078E-008,3.0559E-008,2.8458E-008,2.5926E-008,2.4083E-008,2.2997E-008,2.3891E-008,2.7356E-008,3.3290E-008,4.3369E-008,5.9805E-008,8.4421E-008,1.1922E-007,1.6529E-007,2.2413E-007,2.9707E-007,3.8691E-007,5.0135E-007,6.5712E-007,8.7565E-007,1.2239E-006,1.9678E-006,3.5897E-006
5.0000,9.2822E-007,5.2713E-007,4.3106E-007,3.9757E-007,2.9771E-007,2.2194E-007,1.7009E-007,1.3037E-007,1.0052E-007,8.4509E-008,7.7732E-008,7.5502E-008,7.5462E-008,7.5835E-008,7.6693E-008,7.9166E-008,8.3771E-008,9.1016E-008,1.0062E-007,1.1164E-007,1.2644E-007,1.4832E-007,1.7264E-007,1.8758E-007,1.9311E-007,1.9008E-007,1.8383E-007,1.7916E-007,1.7408E-007,1.6327E-007,1.4844E-007,1.3294E-007,1.1898E-007,1.0976E-007,1.0504E-007,1.0402E-007,1.0592E-007,1.0854E-007,1.1012E-007,1.0550E-007,9.7781E-008,9.2783E-008,9.0250E-008,8.7314E-008,8.3712E-008,7.9164E-008,7.4263E-008,7.1123E-008,6.9622E-008,6.9720E-008,7.1009E-008,7.1908E-008,7.2692E-008,7.3321E-008,7.4147E-008,7.4693E-008,7.5396E-008,7.5953E-008,7.6210E-008,7.3629E-008,6.9076E-008,6.4922E-008,6.1145E-008,5.8114E-008,5.5586E-008,5.3238E-008,5.1054E-008,4.8765E-008,4.6500E-008,4.4060E-008,4.1602E-008,3.8908E-008,3.6042E-008,3.2478E-008,2.8357E-008,2.4610E-008,2.1071E-008,1.8267E-008,1.5965E-008,1.3397E-008,1.0804E-008,8.6594E-009,7.5152E-009,7.4750E-009,7.9242E-009,8.4666E-009,8.7571E-009,8.7648E-009,9.2284E-009,1.2425E-008,2.4060E-008,6.4629E-008,2.0982E-007,2.4808E-007
6.0000,2.5177E-006,8.5009E-007,1.6498E-007,6.3714E-008,4.2100E-008,3.4292E-008,2.9735E-008,2.5065E-008,2.0704E-008,1.8514E-008,1.7834E-008,1.7766E-008,1.7877E-008,1.7788E-008,1.7580E-008,1.7607E-008,1.8016E-008,1.8953E-008,2.0338E-008,2.1783E-008,2.3887E-008,2.7778E-008,3.2587E-008,3.4957E-008,3.5325E-008,3.3895E-008,3.1984E-008,3.0936E-008,3.0382E-008,2.8645E-008,2.6096E-008,2.3554E-008,2.1286E-008,2.0192E-008,2.0143E-008,2.0931E-008,2.2503E-008,2.4249E-008,2.5956E-008,2.5793E-008,2.4583E-008,2.4262E-008,2.4736E-008,2.4972E-008,2.4925E-008,2.4498E-008,2.3853E-008,2.3795E-008,2.4272E-008,2.5297E-008,2.6771E-008,2.8082E-008,2.9384E-008,3.0669E-008,3.2111E-008,3.3524E-008,3.5141E-008,3.6881E-008,3.8782E-008,3.9765E-008,4.0298E-008,4.1588E-008,4.3717E-008,4.7054E-008,5.1696E-008,5.7749E-008,6.5520E-008,7.5189E-008,8.7151E-008,1.0157E-007,1.1874E-007,1.3869E-007,1.6149E-007,1.8698E-007,2.1573E-007,2.4836E-007,2.8489E-007,3.2533E-007,3.6762E-007,4.0962E-007,4.5137E-007,4.9276E-007,5.3440E-007,5.7714E-007,6.2224E-007,6.7252E-007,7.2835E-007,7.9498E-007,8.8766E-007,1.0326E-006,1.2528E-006,1.6360E-006,2.4980E-006,3.9205E-006
7.0000,2.2098E-006,7.5491E-007,1.5993E-007,7.4876E-008,5.7708E-008,5.0440E-008,4.4828E-008,3.7954E-008,3.1136E-008,2.7605E-008,2.6404E-008,2.6149E-008,2.6191E-008,2.5943E-008,2.5511E-008,2.5411E-008,2.5818E-008,2.6921E-008,2.8580E-008,3.0185E-008,3.2578E-008,3.7454E-008,4.3754E-008,4.6624E-008,4.6913E-008,4.4873E-008,4.2339E-008,4.1203E-008,4.0905E-008,3.8960E-008,3.5887E-008,3.2822E-008,3.0095E-008,2.8949E-008,2.9192E-008,3.0541E-008,3.2923E-008,3.5518E-008,3.7994E-008,3.7928E-008,3.6480E-008,3.6268E-008,3.7170E-008,3.7833E-008,3.8190E-008,3.8114E-008,3.7865E-008,3.8549E-008,4.0132E-008,4.2644E-008,4.5891E-008,4.8998E-008,5.2088E-008,5.5058E-008,5.7985E-008,6.0481E-008,6.2716E-008,6.4500E-008,6.5695E-008,6.4786E-008,6.2873E-008,6.2126E-008,6.2842E-008,6.5526E-008,7.0005E-008,7.6041E-008,8.3640E-008,9.2596E-008,1.0306E-007,1.1470E-007,1.2732E-007,1.3989E-007,1.5195E-007,1.6300E-007,1.7515E-007,1.9141E-007,2.1235E-007,2.3770E-007,2.6486E-007,2.9158E-007,3.1789E-007,3.4406E-007,3.7081E-007,3.9960E-007,4.3190E-007,4.7050E-007,5.1616E-007,5.7187E-007,6.4947E-007,7.7336E-007,9.7192E-007,1.3471E-006,2.3610E-006,3.5567E-006
8.0000,5.2076E-006,2.9192E-006,2.3532E-006,2.0481E-006,1.6877E-006,1.3607E-006,1.0950E-006,8.7125E-007,6.9957E-007,5.9263E-007,5.2843E-007,4.8586E-007,4.5322E-007,4.2322E-007,3.9627E-007,3.7636E-007,3.6527E-007,3.6429E-007,3.7164E-007,3.8353E-007,4.0710E-007,4.5298E-007,5.0664E-007,5.2923E-007,5.2267E-007,4.9194E-007,4.5428E-007,4.2442E-007,3.9780E-007,3.6008E-007,3.1549E-007,2.7209E-007,2.3389E-007,2.0651E-007,1.8822E-007,1.7622E-007,1.6809E-007,1.5943E-007,1.4724E-007,1.2520E-007,9.8439E-008,7.4183E-008,5.2663E-008,3.3145E-008,1.9426E-008,1.1347E-008,6.8134E-009,4.4252E-009,3.3278E-009,2.9602E-009,3.0024E-009,3.3156E-009,3.8280E-009,4.4644E-009,5.1225E-009,5.6981E-009,6.0912E-009,6.2277E-009,6.0275E-009,5.4742E-009,4.6901E-009,3.8130E-009,2.9351E-009,2.2135E-009,1.6976E-009,1.3223E-009,1.0396E-009,8.3811E-010,7.0210E-010,6.0907E-010,5.4791E-010,5.3120E-010,4.6621E-010,3.8820E-010,3.2089E-010,2.7093E-010,2.3783E-010,2.1871E-010,2.1236E-010,2.1435E-010,2.1644E-010,2.1367E-010,2.0687E-010,2.1733E-010,3.5490E-010,1.0086E-009,2.8660E-009,5.9932E-009,9.8343E-009,1.4492E-008,2.0628E-008,3.0745E-008,5.2588E-008,8.5784E-008
